#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,,回避します！,"
Evading!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,42
0,,属性を付与します！ 一気に攻撃を！,"
Granting attributes!
Attack all at once!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,100
0,,弱点を狙って攻撃します！,"
I will target the weak points!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,97
0,,弱点を露出させます！ みなさん攻撃を！,"
Weakness is exposed!
Everyone, attack!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,96
0,,強敵です、警戒を！,"
A formidable foe!
Stay vigilant!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,20
0,,従えません,"
I don't follow.",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,49
0,,怒っています！　気を引き締めて下さい！,"
'Tis fearsome wroth!
Steel yourself!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,91
0,,感謝します！,"
My thanks!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,21
0,,我々の勝利です！,"
We are victorious!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,29
0,,我が主に竜の加護があらんことを,"
May the Dragon protect us.",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,9
0,,我らが竜とともに！,"
The Dragon is with us!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,5
0,,戦いの日々、休息も必要です,"
Fighting day after day, we need rest.",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,53
0,,承知しました！,"
Acknowledged!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,48
0,,拠点に到着です、仕入れるべき道具、情報はありますか？,"
Arrived at the base.
Do we have any tools or information to gather?",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,86
0,,揺さぶりにいきます！,"
I'm going to shake things up!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,95
0,,攻勢に転じられるよう、支援します！,"
The offensive has changed,
I will support you!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,98
0,,敵が興奮状態です！　攻撃に注意を！,"
The enemy is in an excited state!
Pay attention to its attacks!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,92
0,,敵の能力を下げてみせます！,"
Debilitating the enemy!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,99
0,,敵を引きつけます！,"
I will attract the enemy!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,40
0,,敵を発見！,"
Enemy sighted!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,16
0,,早く、助けを！,"
Help me, quickly!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,22
0,,最善を尽くします、覚者さま,"
I will do my best, Arisen.",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,63
0,,氷が弱点です！,"
'Tis weak to ice!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,144
0,,油断は禁物です！,"
Do not let down your guard.",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,26
0,,深手を――負いましたっ――,"
I've suffered...
a grievous wound.",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,35
0,,炎が弱点です！,"
It ill likes fire!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,143
0,,無事、生き抜きましょう,"
Let's get through this safely.",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,149
0,,無事に帰ってこられましたね,"
You made it back safely, didn't you?",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,82
0,,狙います！,"
Taking aim!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,44
0,,生き延びたようです,"
Looks like we survived.",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,30
0,,私が治します！,"
I will heal you!",ui\00_message\pw\pwtlk01.gmd,\game_common.arc,game_common.arc,140
